id,size,width,height,pixels,movie_year,red_pixels,green_pixels,blue_pixels,object detected
tt2317337,31957,300,394,118200,2012,20646807,20598482,18595232,"man 0.268, microphone 0.117, woman 0.039, microphone 0.037, woman 0.037, woman 0.035, woman 0.030, animal 0.016, animal 0.015, microphone 0.013, weapon 0.012, instrument 0.012, woman 0.008, woman 0.007, instrument 0.006, instrument 0.006, instrument 0.006, microphone 0.004, instrument 0.004, woman 0.004, man 0.004, weapon 0.004, woman 0.004, animal 0.004, woman 0.004, microphone 0.003"
tt1737122,31979,300,445,133500,2012,28636560,28546813,30299393,"animal 0.096, animal 0.035, roses 0.022, weapon 0.010, animal 0.009, weapon 0.007, animal 0.005, instrument 0.005, instrument 0.004, roses 0.004, animal 0.003"
tt1535421,31996,300,444,133200,2012,19621630,17373318,15883190,"airplane 0.542, woman 0.169, airplane 0.067, woman 0.040, airplane 0.039, woman 0.027, airplane 0.020, weapon 0.018, airplane 0.006, shield 0.004"
tt1872818,32161,300,444,133200,2012,16482753,18991309,20291065,"woman 0.740, man 0.560, man 0.003"
tt2190367,32201,300,443,132900,2012,24209727,25104992,25430007,"woman 0.724, man 0.353, car 0.007, instrument 0.003"
tt1853643,32234,300,444,133200,2012,22383225,22807364,25668221,"man 0.417, woman 0.343, woman 0.275, man 0.068, man 0.062, woman 0.041, instrument 0.015, woman 0.008, weapon 0.007, shield 0.007, instrument 0.003, weapon 0.003"
tt1792647,32495,300,445,133500,2012,13806730,15143298,13851910,"man 0.090, woman 0.050, woman 0.021, weapon 0.016, animal 0.015, man 0.012, weapon 0.011, woman 0.009, man 0.009, animal 0.008, woman 0.008, woman 0.007, woman 0.007, man 0.006, animal 0.006, instrument 0.005, weapon 0.005, instrument 0.005, woman 0.005, weapon 0.004, instrument 0.004, weapon 0.004, man 0.003"
tt2082232,32714,300,445,133500,2012,16960776,17143499,18500033,"woman 0.377, man 0.368, man 0.206, man 0.191, man 0.010"
tt2062961,32794,300,443,132900,2012,20168343,19905733,18283188,"man 0.273, man 0.017, animal 0.014, man 0.012"
tt1839492,32882,300,469,140700,2012,30312689,30613291,31892056,"woman 0.338, woman 0.312, woman 0.021"
tt1787988,32894,300,434,130200,2012,4089544,10194194,15318319,"man 0.294, woman 0.102, woman 0.089, woman 0.033, woman 0.020"
tt1977953,32942,300,445,133500,2012,8832539,16070384,20494738,"man 0.275, man 0.115, woman 0.059, animal 0.012, animal 0.012, animal 0.005"
tt2016894,33010,300,471,141300,2012,12198065,15334372,19168348,"man 0.708, microphone 0.173, microphone 0.102, microphone 0.056, microphone 0.014, shield 0.004, microphone 0.003"
tt2103227,33026,300,444,133200,2012,14269735,18288966,20954195,"animal 0.690, man 0.214, instrument 0.011, microphone 0.011, instrument 0.004, microphone 0.004"
tt2125698,33081,300,443,132900,2012,24682994,21856211,28176451,"woman 0.423, man 0.075, man 0.004, woman 0.004"
tt1620933,33099,300,433,129900,2012,16497037,18999539,22143698,"man 0.623, car 0.056, airplane 0.009, animal 0.007, man 0.006, airplane 0.005, instrument 0.004, airplane 0.004, microphone 0.004, airplane 0.004, weapon 0.003, airplane 0.003"
tt1598828,33138,300,445,133500,2012,17792192,21137744,19426864,"woman 0.773, instrument 0.144, instrument 0.007, instrument 0.004, microphone 0.004"
tt1259521,33240,300,445,133500,2012,21958845,22278489,22383303,
tt2241069,33475,300,455,136500,2012,11803577,16663244,19356193,"man 0.006, man 0.005, animal 0.004, woman 0.004"
tt1758610,33496,300,442,132600,2012,13193437,15230847,17216331,"woman 0.562, man 0.344, man 0.055, animal 0.033, animal 0.026, animal 0.015, woman 0.010, animal 0.005, woman 0.004, man 0.003, animal 0.003"
tt1232200,33510,300,444,133200,2012,17616509,18715831,17365045,"man 0.539, man 0.402, man 0.003"
tt1735898,33579,300,445,133500,2012,15612826,14850578,13761088,"shield 0.464, man 0.396, woman 0.190, instrument 0.027, instrument 0.023, man 0.018, man 0.015, man 0.010, woman 0.010, microphone 0.005, woman 0.005, weapon 0.005, instrument 0.005, man 0.005, woman 0.004, woman 0.003, weapon 0.003, man 0.003, woman 0.003"
tt1602472,33594,300,445,133500,2012,24222954,26993253,29552765,"man 0.481, woman 0.353, woman 0.041, man 0.008, woman 0.005, woman 0.005, animal 0.005"
tt1956697,33671,300,400,120000,2012,9805027,10885092,13138433,"man 0.497, man 0.337, roses 0.003"
tt1298649,33676,300,445,133500,2012,24923494,23516824,22897527,"woman 0.287, man 0.173, man 0.069, man 0.050, woman 0.014, man 0.011, man 0.010, man 0.006, woman 0.005, man 0.004"
tt2294729,33725,300,441,132300,2012,16074842,18422009,22212411,man 0.604
tt0938330,33787,300,445,133500,2012,5713925,6706320,7219969,"airplane 0.131, instrument 0.080, man 0.055, airplane 0.049, instrument 0.048, animal 0.008, weapon 0.007, man 0.006, weapon 0.004, microphone 0.004"
tt1395025,33861,300,433,129900,2012,2958846,3731563,11880972,"car 0.736, man 0.605, instrument 0.142, instrument 0.052, instrument 0.030, instrument 0.029, instrument 0.029, instrument 0.022, instrument 0.017, microphone 0.015, instrument 0.012, instrument 0.012, instrument 0.010, instrument 0.009, car 0.008, instrument 0.008, instrument 0.007, man 0.007, instrument 0.007, instrument 0.007, instrument 0.007, man 0.006, weapon 0.006, woman 0.005, instrument 0.005, instrument 0.004, microphone 0.004, car 0.004, instrument 0.004, instrument 0.004, instrument 0.004, microphone 0.003, instrument 0.003, instrument 0.003, car 0.003"
